,School Name,School Address,School Phone,affiliation
681,Sacred Heart Convent School,Handiaya Road...,"0472 33215 , 622883",CSEB
682,Sant Baba Sunder Singh Ji,Canadian Akal Academy Tallewal Teh. sangrur...,,CSEB
683,Sarvottam Academy,Barnala Road Khuddikalan...,"01679 243598 , 241113 2220411",CSEB
684,Y S School,Bus Stand Road...,"01679 32628 , 30628",CSEB
685,Godwin Public School,"Abohar-Fazilkha Road, N.H-10, 
P.O- Nihal -K...",01638233317,CSEB
686,Air Force School,Air Force Station...,"0288 4376 AF , 09904103573",CSEB
687,Akal Academy,Bharyal Lahiri P. O. Rattangarh Teh &...,0186 2264526,CSEB
688,Angel's Pub School,Dalhousie Road Mamun Chowk Mamun...,"0631 2200883 , 2434604",CSEB
689,Army School,Mamman Canttpathankot...,"01826 21886 , 2614 264873",CSEB
690,Army School,Madhopur Tehsil T. Gurdaspur...,"01763 3688 , 0172-2623399",CSEB
691,DR MCM D A V Public School,Mission Road...,"0484 22764 , 23764",CSEB
692,J.M.K International School,P. Box 37...,01655 01862250221,CSEB
693,Mela Devi Kalra Arya School,Siali Road...,"01686 21979 , 04344291184",CSEB
694,Montessori Cambridge School,Defence Road Pangoli...,"0186 30662 , 31886 457",CSEB
695,Partap World School,"Village Pangoli, Defence Colony...","0175 01863297907 , 01675-240715",CSEB
696,St. Thomas High School,Mission Road...,"0731 25134 , 09826023455",CSEB
697,The Senior Scholar's School,Rajinder Nagar...,"0186 2234458 , 2224136",CSEB
698,Atam Vidya Mandir School,Kanech Chowk Guru Gobind Singh Marg G. road...,01612847304,CSEB
699,Bhagwan Mahaveer Public Senior Secondary School,Bhagwan Mahaveer Marg Banga. Sbs Nagar...,01823260481,CSEB
700,Cambridge International School,Kariha Banga Nawanshahr Road...,01823,CSEB
701,Darrick International School,"Mukandpur Road, Banga...",01823-265900,CSEB
702,Government Fcs Adarsh Senior Secondary School,"Nawagram, Teh. Valachour, Sbs Nagar, Nawan Sh...","9872610655 , 8968477366",CSEB
703,Guru Nanak Mission Public Senior Secondary School,Dhahan Kalarian Nawanshahar...,"01823 262686 , 273589 2571400",CSEB
704,Guru Ramdas International Public School,"Malpur, SBS Nagar, Punjab - 144518...",018238146924555,CSEB
705,Jawahar Navodaya Vidyalaya,V & P Pojewal Teh Balachaur Nawan Sahar...,34616,CSEB
706,K C Public School,Karyam Road Nawanshahar...,"01823 232978 , 235470",CSEB
707,Kirpal Sagar Academy,Village Daryapur P. O. Kahlon Near Rahlon Teh...,"01823 240224 , 240064",CSEB
708,M R Citi Public School,Balachaur Nawanshar...,01885 20290,CSEB
709,Rayat International School,"Rayat Technology Campus, Railmajra, ( 6 Km Fr...",01881 270791,CSEB
710,Rmbdav Centenary Public School,"Musapur Road, Nawanshahr...","01823-221195,225334",CSEB
711,Scholar Public High School,"Village Ladhana Ucha, P. O. Ladhana Jhikka...",01823281505,CSEB
712,Scholars Public School,"V. P. O. Jadla, Teh & Nawanshahr...","0135 01823-254900 , 0135-2781567",CSEB
713,Shivalik Public School,"Sewa Singh Thikriwala Nagar, Rajpura Road...","01823 222320 , 222820",CSEB
714,St. Soldier Public School,"Charankamal Road, Banga...",01823-295383,CSEB
715,Sutlej Public School,Kajla Road Banga...,"01823 60119 , 60250",CSEB
716,Ankur Shikshan Sansthan,Ratlam Road...,"02962 243001, 243002",CSEB
717,Bharti Vidya Bhawan,"Link Road, Ratitalai...",02962-241050,CSEB
718,Government Tribal Residential School,Kushalgarh Gram Churada Post Thumuth Teh Kush...,,CSEB
719,Jawahar Navodaya Vidyalaya,Budwa Via Barodia...,"0160 6138 , 61053",CSEB
720,"Jawahar Navodaya Vidyalaya, Choraha","College Girl’s Hostel , Near Raj Talab Poli...",02962-254678,CSEB
721,Kendriya Vidyalaya,Ratitalai...,2518 PP,CSEB
722,New Look Central School,Dungarpur Road Purtapur...,"02963 8290800579 , 22500",CSEB
723,New Look Senior Secondary School,Lodha...,"02962 242489 , 02962240489",CSEB
724,St. Paul's Public School,Thikaria...,"04933 2428 , 2428",CSEB
725,St. Pauls School,"Agoriya, Bagidora, District...","02968- 280144, 02968-290273",CSEB
726,Swami Vivekanand Government Model School,Block-Ghatol...,9414101857,CSEB
727,Tiny Tots School,Old Ratlam Road Near Kagdi Pick Up...,"02962 242937 , 02962-240572",CSEB
728,Divine Public Bchool,"Pratap Nagar, Behind Railway Station...",07453230756,CSEB
729,Government Residential School,Hanotia Shahbad Bara...,,CSEB
730,Jawahar Navodaya Vidyalaya,Atru...,"277 , 206",CSEB
731,Kendriya Vidyalaya,"Kota Road, Baran - 325205 Rajasthan...","07453-237069, 237068",CSEB
732,"Kendriya Vidyalaya, Anta","National Thermal Power Corporation (NTPC)
An...",07457-246225,CSEB
733,"Kendriya Vidyalaya, Chhabra","CTPP Chhabra, Motipura Chowki
Chhabra- 32522...",07452225025,CSEB
734,St. Paul's School,Baran...,0744232323,CSEB
735,Swami Vivekanand Government Model School,Shahbad...,9983122754,CSEB
736,Swami Vivekanand Government Model School,Atru...,9414650363,CSEB
737,Swami Vivekanand Government Model School,"Block & Teh-Chhabra, VP. O. - Dadiyaban...",9829747452,CSEB
738,Jawahar Navodaya Vidyalaya,Pach Padra Nagar...,"06244 81210 , 242101",CSEB
739,Kendriya Vidyalaya,"Jalipa Cantt, Post Box No 18,
Barmer,
Rajas...","+91 2982 220429, 223781",CSEB
740,"Kendriya Vidyalaya, Utarlai","Air Force Station, Utarlai - 344035
Barmer, ...","+91-2982-242200, 242200",CSEB
741,St. Paul School,Siwana Circle Near Gov. Iti Balotra-344022 Di...,9829507017,CSEB
742,St. Paul Senior Secondary School,"P. B. #16, Shivkar Road...","02982220822, 02982226613",CSEB
743,Swami Vivekanand Government Model School,"Detani, Block-Shiv...",9636585962,CSEB
744,Swami Vivekanand Government Model School,"Block Balotra, District...",,CSEB
745,Swami Vivekanand Government Model School,"Block Siwana, Barme, Kharkharlai Road, Siwana...","01590 9983413969 , 9413711071",CSEB
746,Swami Vivekanand Government Model School,Chohtan...,"9460158738 , 9314108709",CSEB
747,Swami Vivekanand Government Model School,"Chuli, Block &...",9414353448,CSEB
748,The Modern School,"Barmer Garden, Near NH-15...",09460330944,CSEB
749,Anand Vidya Mandir Ucha Madhyamik Vidyalaya,Plot #447 Rundiya Nagar in Front of Cimmco...,05644225299,CSEB
750,Army School,"Kanjoli Lines, Bharat Pur...",01593 223150,CSEB
751,CGI World School,"NH-11, Opposite Dalmia Dairy...",05644226855,CSEB
752,Delhi Public School,"NH-11, Near Sewar Bridge...","0141-2352566 , 9414017835",CSEB
753,Holy Heights Convent School,Kasganj Road Nadbai...,05643276352,CSEB
754,Jawahar Navodaya Vidyalaya,Chhonkarwara...,"040 22248 , 86139",CSEB
755,Kendriya Vidyalaya,"Near STC COLLEGE, Behind New Hospital,
Bhara...",05644-223732,CSEB
756,"Kendriya Vidyalaya, Mahel Khas","Mahel Khas, Bharatpur, Rajastan -321001...","3732 , 3230",CSEB
757,Manav Bharti Madhmik Vidyalaya,Narmada Gate...,"05644 23367 , 21207",CSEB
758,Pt. Parsadi Lal International School,"Bharatpur Road, Deeg...",05641-208071,CSEB
759,S.R. International Academy,"Near 2 Km Stone, Raghu Vihar Kherli Road, Nad...",05643-223333,CSEB
760,St. Luke's Secondary School,"Behind Punjab National Bank, Boarai, Tehsil K...","0291 236831 , 440105",CSEB
761,St. Peter's School,Police Line Road...,"0141 336621 , 234411 872854",CSEB
762,Tagore English Academy,"132 Kb Infront of Bijalighar, Kumher Road, Ka...","0120 09414711542 , 2758565",CSEB
763,Tm International School,"Brij Vihar Colony, Adjacent To Marutis Work S...","05644-220615, 09214629704",CSEB
764,Vijay Laxmi International School,Bidyariroad...,05648-211083,CSEB
765,D A V ACC Public School,Ishwar Nagar Lakheri...,"42 , 42",CSEB
766,Emmanuel Senior Secondary School,Bundi Line Police Road...,"0747 2457367 , 2456052",CSEB
767,Indian Convent School,Kesahvrai Patan K. Patan...,07438212185,CSEB
768,Jawahar Navodaya Vidyalaya,Sitapura Barudhan Devpura...,"01427 32181 , 7076",CSEB
769,St. Paul's School,Near Fci Godown Chitt Road...,0747 442391,CSEB
770,Swami Vivekanand Government Model School,"Hindli, Rajashan...",,CSEB
771,Swami Vivekanand Government Model School,"Varundhan, Block Talera...",,CSEB
772,Swami Vivekanand Government Model School,Nainwan...,,CSEB
773,Acharya Nanesh Academy,"Nanesh Nagar, Danta...","01476-287249 , 09928355026",CSEB
774,Alok School,"Village-Surajpole, Tehsil-Eral...",01472-205831,CSEB
775,Atomic Energy Central School No 4,Anukiran Colony Rawatbhata Via Kota ( )...,"2273 , 2344",CSEB
776,Atomic Energy Central School No. 2,Anuchhaya Colony...,01593 233248,CSEB
777,Birla Shiksha Kendra,Madhar Nagar Chittgarh...,"01472 257630 , 256730",CSEB
778,Central Acadmey Senior Secondary School,Senthi...,"01472 41117 , 46449 44204",CSEB
779,Deeksha International School,"Behind Mataji Temple, Udaipur State Highway, ...",01476-230003,CSEB
780,Government Tribal Residential School,Pratapgarh Chitorgarh...,01478 222751,CSEB
781,Hind Zinc School,Zinc Nagar Kapasan Road...,"01472 242662 244726 , 244726 248886",CSEB
782,Jawahar Navodaya Vidyalaya,Mandaphia...,"01470 242639 , 242875",CSEB
783,Kailash Vidya Vihar,J. K. Cement Works Kailash Nagar 2 Nimbahera...,276,CSEB
784,Kendriya Vidyalaya,"Girls Hostel Campus, Sector-4, Gandhi Nagar, ...","01472 243505 , 82429",CSEB
785,Sainik School,Chittorgarh...,"01502 3118 , 2018",CSEB
786,Sarvoday Kids' Convent School,Banswara Road Pratapgarh...,"91326 09352375226 , 913262901972",CSEB
787,St. Paul's School,Post Box #19 Pratapgarh Chitgarh...,"01478 225857 , 01478222119",CSEB
788,St. Paul's School,Nimbhahera Road...,"01472 248822 , 48822 245500",CSEB
789,St. Pauls School,"United Church Campus, Near Ntc Gate, Jhalar B...",01475-233649,CSEB
790,The Aditya Birla Public School,Adityapuram Sawa District. Chittorgarh...,"01472 221079 , 20398 01472-229242",CSEB
791,The Asia Pacific Convent School,"Near Suraj Resort, Neemuch Road, Pratapgarh...",01478-222314,CSEB
792,B R J D Public School,Bhorugram Nangal Kalan...,"01559 284425 , 226 01559-284426",CSEB
793,Bhartia International School,"NH-11, Rajaldesar...",01567222684,CSEB
794,C J R M Public School,"Gajsar, Bhaleri Road...",01562-219363,CSEB
795,Cambridge Convent School,"Jaipur Road, Sardar Shahr ( Churu )...",01564-274461,CSEB
796,Gurukul Global School,"Bikaner Road, Bandhnau, Sardar Shahar...",09529266777,CSEB
797,Ideal Public School,Hisar Road Rajgarh ( Raj )...,01559-226016,CSEB
798,Jawahar Navodaya Vidyalaya,Gandhi Vidya Mandir Campus Sardar Shahr...,"033 430 , 20266",CSEB
799,Kendriya Vidyalaya,Bhaleri Road...,"0141 50236 , 50314",CSEB
800,Lakshmipat Singhania Academy,Balrasar Tanwaran P. O. Ranasar...,"01562 74966 , 224085",CSEB
801,Little Flower School,P. B. #28 ( Raj. )...,01562-256091,CSEB
802,Lord's International School,"Alwar-Tizara-Delhi Highway, NH-65, Hisar Road...","033-5122379, 2883473",CSEB
803,Lords International School,Bhaleri Road...,01562219328,CSEB
804,M.D. Bhati Saraswati Niktan Public School,"Village Sidhmukh, Siwani Road...","0361 01559-689468 , 2471982",CSEB
805,Mohta Public School,Rajgarh P. O. Sadulpur...,"01559 222292 , 222292",CSEB
806,Rajeev Shiksan Sansthan,"Sahawa, Taranagar...",01561284020,CSEB
807,Shah Satnam Ji Girls School,"W. #7, Near Delhi Bikaner Bypass Tarangar...",01561241777,CSEB
808,Aravali Public School,"Badiyal Khurd, Bandikui...",01420-512681,CSEB
809,Frame International School,"Nangal Bairsi Road, Jirota Mod...","9887009991 , 9887009992",CSEB
810,Impulse English School,"Agra Side Byepass Tiraha, Agra Road...",09414271682,CSEB
811,Jawahar Navodaya Vidyalaya,"Kherli P.O, Bhandarej...",01427-283319,CSEB
812,Railway Senior Secondary School,"Bandikui, Near Bandikui Railway Station...",,CSEB
813,Rukmani Devi International School,"Sindhi Camp, Sarawali ( mandawar )...","0657 07461 , 06572901451",CSEB
814,Shree Ashram The International School,Jasota Road NH-11 A...,01427-223232,CSEB
815,St. Francis School,"Gudha Katla Road, Bandikui, Baswa...","0671 01420-225203 , 2545512",CSEB
816,St.mary's Convent School,Lalsot Road...,"0651 01427-221794, 221795",CSEB
817,Swami Vivekanand Government Model School,Block-Sikrai...,9829486604,CSEB
818,Swami Vivekanand Government Model School,"Block & Teh-Lalsot, Vill, Didwara...",9413514306,CSEB
819,Swami Vivekanand Government Model School,"Kherla, Khurd, Block...",9413816262,CSEB
820,Swami Vivekanand Government Model School,"Nayagaon, Block, Mahawa...",9460425416,CSEB
821,The Bohras Global School,"Ramgarh Road, Mahwa...",07461-233350,CSEB
822,Vidyasthali Public School,"N.H. 11, Nangal Bairsi Road, Dausa...","07462 01427-203119 , 01482264580",CSEB
823,Vivekanand Senior Higher Secondary School,"Collectorate Circle, Agra Byepass Road...",01427224470,CSEB
824,AVM Convent School,Ghanta Ghar Road...,"05642 220094,220863 , +91-9460624897",CSEB
825,Jawahar Navodaya Vidyalaya,Purani Chhawni Bari Roadrajasthan...,"05642 220186 , 05642-220186",CSEB
826,PT Uma Dutt Public School,Leela Niwas...,"05642 21584 22412 , 22412 05642-221210",CSEB
827,Rashtriya Military School,Dholpur...,"749 , 741",CSEB
828,Rishi Galav Convent School,Behind Mid Way Hotel Gt Road...,05642-240729,CSEB
829,Shri Vardhman Convent School,"A, b, Road, NH-3, Mania, Dholpur...","06532 09214753160 , 06532222307",CSEB
830,World Sunrise Public School,V/p-Tagawali...,05642214283,CSEB
831,Dungarpur Public School,Bichhiwara Road...,"02964 32902 34405 , 34405 30810",CSEB
832,Flower Kids Public School,"Panchvati, Sagwara, District T-Dungarpur ( Ra...",02966320428,CSEB
833,Government Tribal Residential School,Seemalwada Dungerpur...,,CSEB
834,Gurukul Central Academy,"Near Syntex Mill, Bichhiwara Road, Bori...",02964 231627,CSEB
835,Jawahar Navodaya Vidyalaya,Thakarda...,"01574 23205 , 23206",CSEB
836,Kendriya Vidyalaya,S. B. P. College Campus...,"02964 291228 , 50314",CSEB
837,M. B. Public School,"Near Railway Station, Dadodiya...",02964234438,CSEB
838,Modern School,"P. O. Box 26, Sector 7, New Housing Board, Du...","02964-233397, 232598, 231764",CSEB
839,New Look Central School,Galiakot Dungurpur Road Sagwara...,02966 251285,CSEB
840,Swami Vivekanand Fovt Model School,"Block, Khemaru, District...",9414730808,CSEB
841,Swami Vivekanand Government Model School,Block-Aspur...,09461117697,CSEB
842,Swami Vivekanand Government Model School,Block-Simalwara...,7742439083,CSEB
843,Swami Vivekanand Government Model School(ghotod),Block-Sagwara...,7568396167,CSEB
844,Air Force Children School,Jaisalmer Air Force Station...,"0744 256027 , 275",CSEB
845,Army Public School,"Jaisalmer, C/o 140, Armed Bde, C/o 56 Apo...","0292 260077 , 9636809896",CSEB
846,Emmanuel Mission Senior Secondary School,Indian Colony...,"0731 856153 , 36729",CSEB
847,Jawahar Navodaya Vidyalaya,Mohangarh...,"02997 228329 , 82303",CSEB
848,Kendriya Vidyalaya,A. F. S...,2254,CSEB
849,Kendriya Vidyalaya,Bsf Dabla...,"02992 240832 , 02992-240832",CSEB
850,Kendriya Vidyalaya,Bsf Pokaran...,"06670 30101 , 33401",CSEB
851,Kendriya Vidyalaya,"Bsf, Ramgarh...","02991 270011 , 09461337133",CSEB
852,St. Paul's School,P. B. #33 Air Force Station...,"02992 252713 , 250681",CSEB
853,Swami Vivekanand Government Model School,"Fatehgarh, Block-Sam...",9772178871,CSEB
854,Swami Vivekanand Government Model School,"( Pokran ) Sankara, Pabupadiya Road, Pokaran,...",,CSEB
855,Divine International School,"N. H. 15, Tharad Road, Sanchore...",02979-296398,CSEB
856,Emmanuel Senior Secondary School,Roop Nagar...,"0612 02973-223185 , 2683934",CSEB
857,Jawahar Navodaya Vidyalaya,Jaswantpura Jale...,06641 3134,CSEB
858,Swami Vivekanand Government Model School,"Dodwalia, Block-Raniwara...",9414544994,CSEB
859,Emmanuel Mission Senior Secondary School,Mamabhanja To Thermal Road...,07432230335,CSEB
860,Jawahar Navodaya Vidyalaya,Pachpahar Bhawanimandi...,"01882 22193 , 22253",CSEB
861,Kendriya Vidyalaya,Jhalawar Jhalrapatan...,33388,CSEB
862,Lady Anusuiya Singhania Eudcation Centre,Jhalrapatan Road...,07432211342,CSEB
863,Lady Anusuya Singhania Educational Academy,Vrindavan Kota Road...,"07432 232787 , 2408 09829039010",CSEB
864,Pallavan Uchatar Prathmik Vidyalaya.,B. P. O. Gagraon...,07432-238015,CSEB
865,Roopnagar Public School,"Roopnagar Public School, Roopnagar Colony, N....","0471 07432513747 , 2545951",CSEB
866,Sankalp Adademy Senior Secondary School,"Shrinath Ji Sankalp Bhawan Jhirnia, Kota Road...",09414189221,CSEB
867,Sigma School Of Excellence,Kishanpura Jhalrapatan...,07432242143,CSEB
868,St.joseph's International School,"Kota Road, NH-12, Village Gopalpura...",07432 233705,CSEB
869,Swami Vivekanand Government Model School,"Ashnawar, Block-Jhalrapatan...",9413807345,CSEB
870,Swami Vivekanand Government Model School,"Bakani, Block Bakani...",,CSEB
871,The Kids School,"Kothi, Subhash Colony, Patan Road...",07432232877,CSEB
872,Jawahar Navodaya Vidyalaya,Jat Nangla Teh Hindon City...,07463 282455,CSEB
873,Kendriya Vidyalaya,Govt Sr Sec School Campus Near Collectorate B...,07464 250691,CSEB
874,Swami Vivekanand Government Model School,"Block Karoli, District Karoli...",9828655803,CSEB
875,Swami Vivekanand Government Model School,Block ( Sapotra )...,07691819225,CSEB
876,Veena Memorial Senior Secondary School,Gulab Bag ( Raj. ) 322241...,"01681 07464-220281 , 01681-246785",CSEB
877,A.D. Daga Public School,"Near Anubhav Smarak, Circuit House Road, Tago...",02932-262100,CSEB
878,Ambuja Public School,Ambuja Township Post Rabrivawas Teh Jaitaran...,"02939 288032 , 02939288022",CSEB
879,B R Birla Public Senior Secondary School,Naya Gaonpali...,"02932 223594 , 220616 2222699",CSEB
880,Central Academy School,New Housing Board...,"0744 02932-324065 , 245500",CSEB
881,Emmanuel Mission Senior Secondary School,Naya Gaon Road...,02932 222969,CSEB
882,Fabindia School,Village Bali District. Pali...,"02938 222168 , 02938222399",CSEB
883,Hillgrove Col''s Academy,"Behind Mahaveer Hospital, Koliwara Road, Sume...","0612 09251187703 , 261448",CSEB
884,Jawahar Navodaya Vidyalaya,Jojawar Teh-Marwar...,"01882 4523 , 22543",CSEB
885,Kanakraj Sawantraj Lodha Public School,Falna College Road District Tfalna...,"02938 236681 , 233280",CSEB
886,Leeladevi Parasmal Sancheti English Medium School,Leeladevi Parasmal Sancheti English Medium Sc...,"02934-222035,222036",CSEB
887,M S Kawar International School,"Naya Gaon, Sojat Road...",02932-325850,CSEB
888,Rainbow Public School,Naya Gaon Road...,02932262900,CSEB
889,Sri Parshwanath Jain Vidyalaya,"Jain Pedi, Varkana , Rani Station, Pali, Raj...","02934 222291 , 204547",CSEB
890,St. Paul's School,Near Octroi Post P. B. #55 Jodhpur Road...,"02932 56500 , 57500 27674227",CSEB
891,St. Pauls School,"St. Pauls School, Srisela-Falna P. O. Box #20...","02938-222700,219500",CSEB
892,Alok School,Shiv Nagar Colony Jawad Bypass Road...,"095-2952 224225 , 223662",CSEB
893,Bal Niketan Gandhi Seva Sadan,,"02952 220425 , 220430",CSEB
894,D.A.V. HZL Senior Secondary School,Rajpura Dariba...,02952-265130,CSEB
895,Jawahar Navodaya Vidyalaya,,"0160 20234 , 234",CSEB
896,Kendriya Vidyalaya,"Old Hospital Building, Deogarh...","02904 252115 , 07597404527",CSEB
897,Lakshmipat Singhania School,P. O. Tyre Factory Jaykaygram Kankroli...,"02952 232140 , 02952232280",CSEB
898,Orange County School,"Ocs Lane, Near R. K. Hospital, RIIco Ind. Are...",02952290032,CSEB
899,Sophia Public Senior Secondary School,"Bhilwara Road, Bhava, Rajasmand...","06115 02952-250525,230123",CSEB
900,St Pauls School,"Post Box 12, RIIco Area, Dhoinda, Near Rk Hos...","0341 02952290601 , 82305",CSEB
901,Swami Vivekanand Government Model School,"Bock Amet, Gandhi Nagar, District, Rajsamad...",,CSEB
902,Swami Vivekanand Government Model School,"Kailwa, District Rajsamad...",,CSEB
903,Swami Vivekanand Government Model School,Block-Kumbhalgarh...,9772125530,CSEB
904,Swami Vivekanand Government Model School,( Sema ) Block & Teh. Khamne...,09799577375,CSEB
905,Swami Vivekanand Government Model School,"Deogarh, Near The Bank of Raghav Sagar, Manda...",,CSEB
906,Swami Vivekanand Government Model School,Block-Railmagara...,9929447208,CSEB
907,The Ankur Secondary School,"Telio Ka Talab, Shrinath Nagar...",02953270093,CSEB
908,Fateh Public School,"Rantham Bhore Road, District T-Sawai Madhopur...","07462 220811 , 01482264580",CSEB
909,Jawahar Navodaya Vidyalaya,Jat Baroda Gangapur City...,"01427 55055 , 7076",CSEB
910,Kendriya Vidyalaya,Esi Dispensary Campus Bazaria...,22347,CSEB
911,Kendriya Vidyalaya,"Divsya, Gangapur City...",07463 237196,CSEB
912,Railway Senior Secondary School,Gangapur City...,07463 230422,CSEB
913,St. Francis De Sales School,"RIIco Industrial Area, Saloda, Gangapur City,...","07462 07463-236206 , 01482264580",CSEB
914,Swami Vivekanand Government Model School,Block Khandar...,,CSEB
915,Swami Vivekanand Government Model School,Block Ganga Pur City District Swai...,,CSEB
916,Swami Vivekanand Government Model School,Block Bamanwas...,,CSEB
917,Adarsh Vidya Mandir,"Shankar Vidya Peeth, Mount Abu...","02974 238250 , 235142",CSEB
918,B.S. Memorial School,"Choudhary Colony, Opposite Shani Kunj...","011 02974-221131 , 491581",CSEB
919,Government Tribal Residential School,Aabu Road...,02974 228081,CSEB
920,H G International School,"Near Jain Temple Manpur, Abu Road District. S...","02974 222945 , 225020 225520",CSEB
921,Jawahar Navodaya Vidyalaya,Kalandri...,"01882 4356 , 22253",CSEB
922,Kendriya Vidyalaya,Isa Mount Abu District...,"06766 208 , 208",CSEB
923,Lakshmipat Singhania School,Jaykay Puram...,"0971 244467 , 919929092751",CSEB
924,Padma Binani Dav Public School,Binanigram Pindwada Tehsil...,"02971 228279 , 228379",CSEB
925,Railway High Secondary School,"Near Railway Station, Abu Road...",01593 02974223888,CSEB
926,Royal Rajasthan Public School,"Khasra #318, Rishikesh Road, Umarni, Abu Road...",02974225187,CSEB
927,Sai Baba Public School,"Sai Vihar Colony, Chandmari Road, Aburoad Bye...",0154 02974225500,CSEB
928,Shri Ajit Vidya Mandir,Shanti Nagarsirohi...,02972 223211,CSEB
929,St John's School,Shantivan P. O. Abu Road...,"02974 228085 228088 , 228088 02974-228095",CSEB
930,St Paul's Senior Secondary School,Yandhi Nagar Abu Road District Traj...,0128 225003,CSEB
931,St. Anselms School,Rico Colony Ambaji Road Abu Road...,"02974 22713 , 23027",CSEB
932,St. Paul's Higher Secondary School,Post Box #2...,"0744 220191 , 220973",CSEB
933,St.pauls School,"Sheoganj P. O., Sheoganj ( District )...",02976 270011,CSEB
934,Swami Vivekanand Government Model School,Block-Pindwara...,9887098975,CSEB
935,Swami Vivekanand Government Model School,"Derol, Teh-Reodar...",09649298131,CSEB
936,Adarsh Indian Public Secondary School,"C/o Adarsh Indian Public Secondary School, De...","0591 01434232346 , 2436125",CSEB
937,B. L. International Smart School,"Jaipur Road, Toda Rai Singh...","01433-232752,232753",CSEB
938,Dr K.N.Modi Global School,"Ins 2 & 3 RIIco Industrial Area Phase II,...",,CSEB
939,Eminent School,"Jaipur Road Diggi, Malpura ( Tonk )...",01437-240186,CSEB
940,Emmanuel Senior Secondary School,Tonk...,248049,CSEB
941,Jawahar Navodaya Vidyalaya,Chhan District...,"01882 8221 , 22253",CSEB
942,Kendriya Vidyalaya,C. I. S. F. Campus Deoli...,130,CSEB
943,Kendriya Vidyalaya,Cswri Avikanagar...,35,CSEB
944,Kendriya Vidyalaya,"Gulzar Bagh, Campus, Near Head Post Office...",,CSEB
945,Rajkiya Janjati Balika Avasiya,Madaymik Vidyalaya Navairaj...,,CSEB
946,Saint Joseph Public School,"Diet Road, Village Bichharas...",098292-25109,CSEB
947,Saint Soldier Public School,"Tal Kata Civil Lines Road, Tonk, Rajasthan - ...","01432 24427 , 03192236175",CSEB
948,Sandeepan Academy,"Near CSWRI, Avikanagar,
Jaipur Road, Malpura...",01437-240240,CSEB
949,Shree Sudha Sagar Public School,Village Post Anwa Tehsil Deoli Tonk...,9950494848,CSEB
950,Swami Vivekanand Government Model School,Todraisingh Near Ratwai Chouraha...,09252637195,CSEB
951,Swami Vivekanand Government Model School,"Dhani, Jugalpur Block Newai...",,CSEB
952,Assam Rifles School,Pegong...,"01332 03593 , 282",CSEB
953,Eklavya Model Residential School,Swayam...,"03592 234232 , 9609870288",CSEB
954,Government Junior Secondary School,Manul...,,CSEB
955,Government Secondary School,"Heegyathang District, Mangan...","03595 250807 , 09434862200",CSEB
956,Government Secondary School,Phensang...,"03595 235 , 235",CSEB
957,Government Secondary School,"Chungthang District, Mangan...",,CSEB
958,Government Secondary School,Singhik Via-Mangan...,09474531971,CSEB
959,Government Secondary School,Lachen...,09474531971,CSEB
960,Government Secondary School,P. O. - Lingdong Via-Mangan...,09474531971,CSEB
961,Government Secondary School,P. O. - Lachung...,09474531971,CSEB
962,Government Secondary School,Tingboong...,09434356226,CSEB
963,Government Secondary School,Passingdong...,09474531971,CSEB
964,Government Secondary School,Kalzang...,"+91 9002126055 , +919733391376",CSEB
965,Government Secondary School,"Tingchim, Nth...",08001357561,CSEB
966,Government Secondary School,Gor...,"03592 226335 , 253889",CSEB
967,Government Senior Secondary School,Mangan...,"03595 235 , 235",CSEB
968,Government Senior Secondary School,Phodong...,"03595 250807 , 09434862200",CSEB
969,Government Senior Secondary School,Mangshila P. O. - Tingchim...,09474531971,CSEB
970,Jawahar Navodaya Vidyalaya,P. O. - Phodong...,,CSEB
971,North Sikkim Academy,Pentok Hill Mangan...,"03214 222660 , 202054",CSEB
972,Akshar Vidya Griha,"Village + P. O. - Dardha, PS-Goh...",08292627656,CSEB
973,Ambika Public School,"Karma Road, Near Police Line ( Bihar )...",9939258121,CSEB
974,B L Indo Anglian Public School,"Rampur Tola, Bhanhara...",09934228130,CSEB
975,Bright Life Public School,"Inglish ( Kiyakhap ), Rafiganj...",9934737411,CSEB
976,Dav Public School,Daud Nagar...,"06328 228901 , 332375",CSEB
977,"Dav Public School, Dayanand Vihar",Dayanand Vihar P. B. #6...,"06186-223545, 224147",CSEB
978,Dnyanada English School,"Gut #76, Cambridge- Savangi By Pass, Pokhari,...","0240-2481760, 24781760",CSEB
979,Jawahar Navodaya Vidyalaya,Barun...,"4128 , 4128",CSEB
980,Kendriya Vidyalaya,"Village Babhandi, P. O. Jogia...","06186 292004 , 07766083322",CSEB
981,Ld Buddha Public School,Buddh Vihar Jasoiya Me ( Bihar )...,"0 06186225372 , 09431132086",CSEB
982,Mahesh Academy,M. G. Road...,"05832 06186223224 , 09219663332",CSEB
983,Oyster English High School and Junior College,"Gut #15, Fatehpur, Varud Fata, Jalna Road , A...","0240 2100265, 2358901",CSEB
984,"Podar International School, Shahnoorwadi","Survey No. 14, 
Jabinda Park, 
Opposite Cha...",0240-2356535,CSEB
985,Sanskar Vidya,"Knowledge City, Leela Chak, Navratan Chak, Da...",06328-228741,CSEB
986,Saraswati Shishu Mandir,Rashtriya Uchcha Path...,"06186 223340 , 9570337317",CSEB
987,St. Ignatius Schools,Gayatripath Near Bypass Chowk...,"06186 224412 , 09973791551",CSEB
988,Vivekanand Mission School,Biley Vihar Daud Nagar...,"06328 229385 , 2339294",CSEB
